school,学校
class,学級，授業
pencil,鉛筆
pen,（ボール）ペン
desk,机
bag,カバン
notebook,ノートブック
homework,宿題
diary,日記
window,窓
book,本
chair,いす
door,ドア
piano,ピアノ
guitar,ギター
house,家
room,部屋
kitchen,台所
cup,カップ
glass,コップ，ガラス
bed,ベッド
floor,床，階
table,テーブル
picture,絵，写真
pot,ポット
subject,科目，教科
English,英語
math,数学
science,科学
body,からだ
head,頭
eye,目
nose,鼻
mouth,口
hand,手
finger,指
foot,足
sports,スポーツ
basketball,バスケットボール
baseball,野球
tennis,テニス
mitt,ミット
bat,バット
racket,ラケット
boat,ボート
food,食べ物
bread,パン
rice,米
egg,卵
fruit,果物
orange,オレンジ
apple,りんご
lemon,レモン
cake,ケーキ
milk,牛乳
animal,動物
dog,犬
cat,猫
bird,鳥
sheep,羊
cow,うし
monkey,さる
bus,バス
bicycle,自転車
car,自動車
train,電車
plane,飛行機
fish,魚
flower,花
girl,少女
boy,少年
father,父
mother,母
parent,親
brother,兄弟
sister,姉妹
son,息子
daughter,娘
family,家族
friend,友人
woman,女の人
man,男の人、人
aunt,おば
uncle,おじ
citizen,市民
nurse,看護婦
doctor,医者
pilot,パイロット
cook,料理人
singer,歌手
clerk,店員
student,学生
teacher,先生
player,選手，演奏者
way,道，方法
right,右
left,左
north,北
south,南
east,東
west,西
country,国
Japan,日本
America,アメリカ
China,中国
India,インド
city,市，都会
church,教会
town,街、町
village,町、村
station,駅
place,場所
wall,壁
gate,門
yard,中庭
field,野原，競技場
bank,銀行
library,図書館
hospital,病院
hotel,ホテル
office,事務所
store,店
garden,庭
park,公園
box,箱
letter,手紙
watch,腕時計
tape,テープ
cap,帽子
mail,郵便
stamp,切手
doll,人形
tree,木
map,地図
camera,カメラ
present,プレゼント
chance,機会
age,年齢
half,半分
number,数
line,線，列
danger,危険
a lot of,たくさん
meter,メートル
thing,こと・物
name,名前
walk,散歩
work,仕事，作品
season,季節
spring,春
summer,夏
autumn,秋
fall,秋
winter,冬
January,１月
February,２月
March,３月
April,４月
May,５月
June,６月
July,７月
August,８月
September,９月
October,１０月
November,１１月
December,１２月
Sunday,日曜日
Monday,月曜日
Tuesday,火曜日
Wednesday,水曜日
Thursday,木曜日
Friday,金曜日
Saturday,土曜日
minute,分，ちょっとの間
hour,時間
day,日
week,週
month,月
year,年
look,見る，～に見える
read,読む
drink,飲む
walk,歩く
wash,洗う
run,走る
stop,止める，止まる
have,持っている
have,食べる
wait,待つ
collect,集める
send,送る
come,来る
want,欲しい
do,する
make,作る
ride,乗る
enjoy,楽しむ
play,"遊ぶ,スポーツする,演奏する"
sing,歌う
speak,話す
cook,料理する
swim,泳ぐ
write,書く，手紙を書く
catch,捕まえる
open,開ける
move,動く
help,助ける
buy,買う
leave,去る，残す
meet,会う
live,住む，生きる
work,働く
go,行く
know,知っている
study,勉強する
eat,食べる
learn,学ぶ，覚える
stand,立つ
dance,おどる
sell,売る
arrive,到着する
get,得る
put,置く
stay,滞在する
try,試す
give,与える、あげる
use,使う
visit,訪問する
need,必要とする
happy,幸福な，楽しい
poor,貧乏な，かわいそうな
rich,金持ちの，豊かな
kind,親切な
honest,正直な
easy,やさしい，気楽に
good,良い
best,一番良い
nice,良い
bad,悪い
clean,きれいな
busy,忙しい
large,大きい，広い
tall,"高い,背の高い"
high,高い
fast,速い
early,早い
slow,遅い
long,長い
short,短い，背が低い
warm,暖かい
hot,暑い
cool,涼しい、かっこいい
cold,冷たい，寒い
new,新しい
old,年をとった，古い
young,若い
junior,年下の，下級の
little,"小さい，幼い,少しの"
big,大きい
small,小さな
dark,暗い，黒い
careful,注意深い
hungry,空腹の
ill,病気の
sick,病気で(の)
white,白い
black,黒い
blue,青い
red,赤い
green,緑の
strong,強い，じょうぶな
fine,元気な，晴れた
famous,有名な
glad,うれしい
beautiful,美しい
next,次の，隣の
sad,かなしい
true,ほんとうの
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
ten,10
eleven,11
twelve,12
thirteen,13
fourteen,14
fifteen,15
sixteen,16
seventeen,17
eighteen,18
nineteen,19
twenty,20
thirty,30
forty,40
fifty,50
sixty,60
seventy,70
eighty,80
ninety,90
hundred,100
always,いつも
sometimes,時々
often,しばしば
again,再び
far,遠くに，はるかに
here,ここに
very,非常に
how,どのくらい
too,～もまた，～すぎる
no,いいえ
who,だれ
what,何
which,どちら
whose,だれの(もの)
later,後で
soon,すぐに
yesterday,昨日
o'clock,～時
already,すでに
up,上へ
there,そこに
well,よく，じょうずに
so,とても、だから
slowly,ゆっくりと
yet,まだ
why,なぜ
much,多量の
every,毎～
many,多くの
sorry,ごめんなさい、残念な
be able to,～できる
usually,ふつう
today,今日，現在
fast,速く
now,今
ago,前
where,どこに
home,家を(へ)
much,ずっと，たいへん
yes,はい
also,もまた
not,～でない
together,一緒に
some,いくつかの
early,早い
both,両方
all,みんな
most,ほとんど
I,私は(が)
my,私の
me,私を
mine,私のもの
you,あなたは，あなた達は
your,あなたの，あなた達の
you,"あなたに(を),あなた達に(を)"
yours,あなたのもの，あなた達のもの
he,彼は
his,彼の
him,彼を(に)
his,彼のもの
she,彼女は
her,彼女の
her,彼女を（に）
hers,彼女のもの
it,それは
its,それの
it,それを(に)
we,私たちは
our,私たちの
us,私たちを(に)
ours,私たちのもの
they,彼(女)らは，それらは，
their,"彼(女)らの,それらの"
them,彼(女)らを(に)それらを(に)
theirs,彼(女)らのものそれらのもの
myself,私自身
yourself,あなた自身
himself,彼自身
herself,彼女自身
itself,それ自身
ourselves,私たち自身
themselves,彼(女)ら自身
this,これ
that,あれ
these,これら
those,あれら
everyone,みんな
someone,だれか
something,何か
nobody,だれも～ない
none,何も(だれも)～ない
everything,すべてのもの
everybody,だれでもみな
nothing,何も～ない
life,"生活,生命"
home,故郷，家
fork,フォーク
dish,お皿
paper,紙
newspaper,新聞
mirror,鏡
album,アルバム
card,カード
passport,パスポート
locker,ロッカー
carpet,じゅうたん
clock,(置き)時計
dictionary,辞書
computer,コンピュータ
radio,ラジオ
bench,ベンチ
bath,風呂
key,鍵
medicine,薬
phone,電話
eraser,消しゴム
party,パーティー
TV,テレビ
magazine,雑誌
animal,動物
lion,ライオン
chicken,ニワトリ
mouse,ねずみ
duck,あひる
rabbit,ウサギ
monkey,サル
rat,ネズミ
bear,クマ
pig,ブタ
horse,馬
pet,ペット
cloth,服
clothes,服
hat,帽子
overcoat,オーバーコート
coat,コート
pants,ズボン
skirt,スカート
shirt,シャツ
pocket,ポケット
glove,グローブ
shoe,靴
food,食べ物
rice,ご飯、米
candy,キャンディー
pie,パイ
sugar,砂糖
meat,肉
pork,豚肉
beef,牛肉
vegetable,野菜
potato,じゃがいも
peanut,ピーナッツ
coffee,コーヒー
water,水
tea,お茶
beer,ビール
head,頭，先頭
hair,髪
face,顔
ear,耳
eye,目
nose,鼻
mouth,口
tooth,歯
neck,首
shoulder,肩
body,身体
arm,腕
foot,足
leg,脚
finger,指
voice,声
heart,心(心臓)
train,"列車,電車"
bicycle,自転車
ship,船
building,建物
airport,空港
college,大学
museum,博物館
bridge,橋
classroom,教室
factory,工場
shop,店
person,人
people,人々
lady,婦人
gentleman,紳士
guest,客
team,チーム
group,グループ
grandfather,祖父
grandmother,祖母
child,子供
baby,赤ん坊
farmer,農場主
sailor,船員
wife,妻
king,王様
music,音楽
record,レコード
song,歌
sound,音
band,バンド
money,お金
dollar,ドル
coin,硬貨
leaf,葉
top,頂上
capital,首都
center,中央
corner,かど
word,言葉
English,英語
member,会員
last,最後
question,質問
story,話
sport,スポーツ
soccer,サッカー
football,フットボール
ball,ボール
club,クラブ
game,試合
street,通り
nature,自然
sun,太陽
star,星，スター
planet,惑星
earth,地球，大地
America,アメリカ
moon,月
sky,空
sea,海
cloud,雲
wind,風
ground,地面
road,道
island,島
hill,丘
mountain,山
land,陸地，土地
grass,草
river,川
lake,湖
pond,池
stone,石
rock,"石,岩"
snow,雪
rain,雨
wood,木
oil,油
salt,塩
gold,金
ice,氷
fire,火
hobby,趣味
news,ニュース
light,"光,明かり,信号"
hundred,百
thousand,千
million,100万
guitar,ギター
belt,ベルト
fun,楽しみ
speech,演説
business,商売
health,健康
idea,考え、アイデア
advice,忠告
mistake,誤り
feeling,感覚
vacation,休暇
camp,キャンプ
roof,屋根
knife,ナイフ
show,ショー
trip,旅行(短めの旅行）
travel,旅行
war,戦争
peace,平和
dream,夢
success,成功
love,愛，愛する
picnic,ピクニック
lesson,授業，課
photo,写真
textbook,教科書
video,ビデオ
police,警察
lie,嘘
contest,コンテスト
culture,文化
job,仕事
homeroom,ホームルーム
smile,ほほ笑み、笑顔
happiness,幸福
hope,希望
test,試験
plan,計画
holiday,休日
Christmas,クリスマス
air,空気
port,港
piece,断片
circle,円
program,番組
post,郵便
noise,物音
law,法律
front,前
date,日付
part,部分
fool,馬鹿
seat,座席
art,美術，芸術
inside,内側
math,数学
mile,マイル
kind,種類、親切
space,宇宙
future,未来
birthday,誕生日
gift,贈り物
language,言語
example,例
history,歴史
side,側面
chalk,チョーク
elevator,エレベーター
bell,ベル
gun,鉄砲
butter,バター
chain,くさり
candle,ろうそく
medal,メダル
nest,巣
fan,ファン
machine,機械
ring,指輪
bar,棒，バー
farm,農場
market,市場
find,見つける
decide,決心する、決める
seem,～のように思われる(見える)
forget,忘れる
plan,計画する
see,見る、わかる
think,考える
believe,信じる
grow,成長する，になる
talk,話す
fly,飛行機で行く，飛ぶ
hold,握る，開催する
sleep,眠る
laugh,笑う
say,言う
hunt,狩りをする
wear,着る
watch,見る
care,気にする
understand,理解する
thank,感謝する
remember,思い出す，覚えている
listen,聴く
excuse,言い訳(許す)
love,愛する
draw,描く，引く
drive,運転する
ask,たずねる，頼む
clean,掃除する
climb,登る
call,電話をかける
wake,目が覚める
push,押す
cry,泣く
hear,聞く
hope,望む
discover,発見する
feel,感じる
worry,悩ませる(心配する)
imagine,想像する
wish,望む
dislike,嫌う
teach,教える
shout,叫ぶ
sit,座る
throw,投げる
show,見せる
tell,教える，語る
enter,入る
answer,答える
dress,着る
sail,(船を)走らせる
happen,起こる
keep,保つ，～を(持ち)続ける
strike,打つ
name,名づける
fail,失敗する
rest,休息する
ski,スキーをする
join,参加する
win,勝つ
hurry,急ぐ
rise,起き上がる，のぼる
fall,落ちる
take,(時間が)かかる，連れていく
end,終わる
begin,始まる(める)
die,死ぬ
